college_name,college_details_link,college_city_name,college_address,subject1,subject1_link,subject2,subject2_link,subject3,subject3_link,subject4,subject4_link,college_review_link,write_review_link,college_course_list_link,college_contact_detail_link,college_city_latitude,college_city_longitude,college_address_latitude,college_address_longitude
"Informatics College Pokhara,",https://www.collegenp.com/college/informatics-college-pokhara/,Pokhara,"Matepani, Pokhara",BBA in International Business,https://www.collegenp.com/course/informatics-college-pokhara-bba-in-international-business-bba/,B.Sc. (Hons) in Computing,https://www.collegenp.com/course/informatics-college-pokhara-bsc-hons-in-computing-bsc-it/,BBA in Marketing,https://www.collegenp.com/course/informatics-college-pokhara-bba-in-marketing-bba/,BBA in Accounting & Finance,https://www.collegenp.com/course/informatics-college-pokhara-bba-in-accounting-and-finance-bba/,https://www.collegenp.com/college/informatics-college-pokhara/#discussion,https://www.collegenp.com/college/informatics-college-pokhara/write-review/,https://www.collegenp.com/college/informatics-college-pokhara/#course-list,https://www.collegenp.com/college/informatics-college-pokhara/#contact-detail,28.209538,83.991402,28.2161683,84.0064323
"ISMT College,",https://www.collegenp.com/college/ismt-college/,Kathmandu,"Tinkune, Kathmandu",BA (Hons) Business and Management (BBA),https://www.collegenp.com/course/ismt-college-ba-hons-business-and-management-bba-bba/,BSc. (Hons) Computer Systems Engineering,https://www.collegenp.com/course/ismt-college-bsc-hons-computer-systems-engineering-bsc-it/,BHM - BSc. (Hons) International Tourism and Hospitality Management,https://www.collegenp.com/course/ismt-college-bhm-bsc-hons-international-tourism-and-hospitality-management-bhm/,ACCA,https://www.collegenp.com/course/ismt-college-acca-acca/,https://www.collegenp.com/college/ismt-college/#discussion,https://www.collegenp.com/college/ismt-college/write-review/,https://www.collegenp.com/college/ismt-college/#course-list,https://www.collegenp.com/college/ismt-college/#contact-detail,27.708317,85.3205817,27.6852122,85.34864654895267
"Padmashree International College,",https://www.collegenp.com/college/padmashree-international-college-kathmandu/,Kathmandu,"Tinkune, Kathmandu",B.Tech. Food Technology,https://www.collegenp.com/course/padmashree-international-college-kathmandu-btech-food-technology-btech/,Bachelor of Information Technology (Hons) BIT,https://www.collegenp.com/course/padmashree-international-college-kathmandu-bachelor-of-information-technology-hons-bit-bit/,BA (Hons) in Business & Hospitality Management (BABHM),https://www.collegenp.com/course/padmashree-international-college-kathmandu-ba-hons-in-business-and-hospitality-management-babhm-bh/,Bachelor of Computer Application (BCA),https://www.collegenp.com/course/padmashree-international-college-kathmandu-bachelor-of-computer-application-bca-bca/,https://www.collegenp.com/college/padmashree-international-college-kathmandu/#discussion,https://www.collegenp.com/college/padmashree-international-college-kathmandu/write-review/,https://www.collegenp.com/college/padmashree-international-college-kathmandu/#course-list,https://www.collegenp.com/college/padmashree-international-college-kathmandu/#contact-detail,27.708317,85.3205817,27.6852122,85.34864654895267
"The British College,",https://www.collegenp.com/college/the-british-college-kathmandu/,Kathmandu,"Thapathali, Kathmandu",BBA (Hons) Business and Management,https://www.collegenp.com/course/the-british-college-kathmandu-bba-hons-business-and-management-bba/,BSc (Hons) Computing,https://www.collegenp.com/course/the-british-college-kathmandu-bsc-hons-computing-bsc/,MBA (Executive),https://www.collegenp.com/course/the-british-college-kathmandu-mba-executive-emba/,MSc International Business Management (MIBM),https://www.collegenp.com/course/the-british-college-kathmandu-msc-international-business-management-mibm-mbm/,https://www.collegenp.com/college/the-british-college-kathmandu/#discussion,https://www.collegenp.com/college/the-british-college-kathmandu/write-review/,https://www.collegenp.com/college/the-british-college-kathmandu/#course-list,https://www.collegenp.com/college/the-british-college-kathmandu/#contact-detail,27.708317,85.3205817,27.6915948,85.3201449
"Tribhuvan University (TU),",https://www.collegenp.com/college/tribhuvan-university/,Kathmandu,"Kirtipur, Kathmandu",,,,,,,,,https://www.collegenp.com/college/tribhuvan-university/#discussion,https://www.collegenp.com/college/tribhuvan-university/write-review/,https://www.collegenp.com/college/tribhuvan-university/#course-list,https://www.collegenp.com/college/tribhuvan-university/#contact-detail,27.708317,85.3205817,27.676664,85.2782438
"Academy of Culinary Arts and Hospitality Management,",https://www.collegenp.com/college/academy-of-culinary-arts-and-hospitality-management-lalitpur/,Lalitpur,"Lagankhel, Lalitpur",Bachelor of Science (Hons.) in Hospitality Management,https://www.collegenp.com/course/academy-of-culinary-arts-and-hospitality-management-lalitpur-bachelor-of-science-hons-in-hospital/,Diploma in Culinary Arts,https://www.collegenp.com/course/academy-of-culinary-arts-and-hospitality-management-lalitpur-diploma-in-culinary-arts-dhm/,Australian Diploma in Hospitality Management,https://www.collegenp.com/course/academy-of-culinary-arts-and-hospitality-management-lalitpur-australian-diploma-in-hospitality-manag/,,,https://www.collegenp.com/college/academy-of-culinary-arts-and-hospitality-management-lalitpur/#discussion,https://www.collegenp.com/college/academy-of-culinary-arts-and-hospitality-management-lalitpur/write-review/,https://www.collegenp.com/college/academy-of-culinary-arts-and-hospitality-management-lalitpur/#course-list,https://www.collegenp.com/college/academy-of-culinary-arts-and-hospitality-management-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.6649238,85.32332650122117
"Acme Engineering College,",https://www.collegenp.com/college/acme-engineering-college-kathmandu/,Kathmandu,"Sitapaila, Kathmandu",B.E. Civil,https://www.collegenp.com/course/acme-engineering-college-kathmandu-be-civil-be/,B.E. Computer Engineering,https://www.collegenp.com/course/acme-engineering-college-kathmandu-be-computer-engineering-be/,Bachelor Of Architecture (B.Arch),https://www.collegenp.com/course/acme-engineering-college-kathmandu-bachelor-of-architecture-barch-barch/,M.Sc. Information System Engineering,https://www.collegenp.com/course/acme-engineering-college-kathmandu-msc-information-system-engineering-msc-engineering/,https://www.collegenp.com/college/acme-engineering-college-kathmandu/#discussion,https://www.collegenp.com/college/acme-engineering-college-kathmandu/write-review/,https://www.collegenp.com/college/acme-engineering-college-kathmandu/#course-list,https://www.collegenp.com/college/acme-engineering-college-kathmandu/#contact-detail,27.708317,85.3205817,27.707529,85.282715
"Advance Academy and Republica College,",https://www.collegenp.com/college/advanced-academy-and-republica-college-lalitpur/,Lalitpur,"Kumaripati, Lalitpur",Bachelor of Business Studies (BBS),https://www.collegenp.com/course/advanced-academy-and-republica-college-lalitpur-bachelor-of-business-studies-bbs-bbs/,Ten Plus Two (+2) Management,https://www.collegenp.com/course/advanced-academy-and-republica-college-lalitpur-ten-plus-two-2-management-2-management/,Ten Plus Two (+2) Humanities,https://www.collegenp.com/course/advanced-academy-and-republica-college-lalitpur-ten-plus-two-2-humanities-2-humanities/,Ten Plus Two (+2) Science,https://www.collegenp.com/course/advanced-academy-and-republica-college-lalitpur-ten-plus-two-2-science-2-science/,https://www.collegenp.com/college/advanced-academy-and-republica-college-lalitpur/#discussion,https://www.collegenp.com/college/advanced-academy-and-republica-college-lalitpur/write-review/,https://www.collegenp.com/college/advanced-academy-and-republica-college-lalitpur/#course-list,https://www.collegenp.com/college/advanced-academy-and-republica-college-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.6705227,85.3207195
"Alka Institute of Medical Sciences,",https://www.collegenp.com/college/alka-institute-of-medical-sciences-lalitpur/,Lalitpur,"Jwalakhel, Lalitpur",Certificate in Medical Laboratory Technology (CMLT),https://www.collegenp.com/course/alka-institute-of-medical-sciences-lalitpur-certificate-in-medical-laboratory-technology-cmlt-cmlt/,PCL Nursing (Staff Nurse),https://www.collegenp.com/course/alka-institute-of-medical-sciences-lalitpur-pcl-nursing-staff-nurse-staff-nurse/,PCL in General Medicine-Health Assistant (HA),https://www.collegenp.com/course/alka-institute-of-medical-sciences-lalitpur-pcl-in-general-medicine-health-assistant-ha-ha/,Post Basic Bachelor in Nursing (PBBN),https://www.collegenp.com/course/alka-institute-of-medical-sciences-lalitpur-post-basic-bachelor-in-nursing-pbbn-pbbn/,https://www.collegenp.com/college/alka-institute-of-medical-sciences-lalitpur/#discussion,https://www.collegenp.com/college/alka-institute-of-medical-sciences-lalitpur/write-review/,https://www.collegenp.com/college/alka-institute-of-medical-sciences-lalitpur/#course-list,https://www.collegenp.com/college/alka-institute-of-medical-sciences-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.675426,85.3154142
"Amrit Science Campus (ASCOL),",https://www.collegenp.com/college/amrit-science-campus-ascol-kathmandu/,Kathmandu,"Lainchaur, Kathmandu",B.Sc. Computer Science and Information Technology (B.SC. CSIT),https://www.collegenp.com/course/amrit-science-campus-ascol-kathmandu-bsc-computer-science-and-information-technology-bsc-csit-/,Bachelor of Science (B.Sc) in Environmental Science,https://www.collegenp.com/course/amrit-science-campus-ascol-kathmandu-bachelor-of-science-bsc-in-environmental-science-bsc/,Bachelor of Science (B.Sc) in Physics,https://www.collegenp.com/course/amrit-science-campus-ascol-kathmandu-bachelor-of-science-bsc-in-physics-bsc/,M.Sc in Physics,https://www.collegenp.com/course/amrit-science-campus-ascol-kathmandu-msc-in-physics-msc/,https://www.collegenp.com/college/amrit-science-campus-ascol-kathmandu/#discussion,https://www.collegenp.com/college/amrit-science-campus-ascol-kathmandu/write-review/,https://www.collegenp.com/college/amrit-science-campus-ascol-kathmandu/#course-list,https://www.collegenp.com/college/amrit-science-campus-ascol-kathmandu/#contact-detail,27.708317,85.3205817,27.7194096,85.315162
"Araniko International Academy,",https://www.collegenp.com/college/araniko-international-academy-lalitpur/,Lalitpur,"Satdobato, Lalitpur",Ten Plus Two (+2) Management,https://www.collegenp.com/course/araniko-international-academy-lalitpur-ten-plus-two-2-management-2-management/,Ten Plus Two (+2) Science,https://www.collegenp.com/course/araniko-international-academy-lalitpur-ten-plus-two-2-science-2-science/,Ten Plus Two (+2) Humanities,https://www.collegenp.com/course/araniko-international-academy-lalitpur-ten-plus-two-2-humanities-2-humanities/,,,https://www.collegenp.com/college/araniko-international-academy-lalitpur/#discussion,https://www.collegenp.com/college/araniko-international-academy-lalitpur/write-review/,https://www.collegenp.com/college/araniko-international-academy-lalitpur/#course-list,https://www.collegenp.com/college/araniko-international-academy-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.657521,85.3250564
"Asian College for Advance Studies ,",https://www.collegenp.com/college/asian-college-for-advance-studies-lalitpur/,Lalitpur,"Satdobato, Lalitpur",Bachelor of Pharmacy,https://www.collegenp.com/course/asian-college-for-advance-studies-lalitpur-bachelor-of-pharmacy-bpharm/,Bachelor of Public Health (BPH),https://www.collegenp.com/course/asian-college-for-advance-studies-lalitpur-bachelor-of-public-health-bph-bph/,Bachelor of Science (B.Sc) in Nursing,https://www.collegenp.com/course/asian-college-for-advance-studies-lalitpur-bachelor-of-science-bsc-in-nursing-bsc-nursing/,Certificate in Diagnostic Radiography,https://www.collegenp.com/course/asian-college-for-advance-studies-lalitpur-certificate-in-diagnostic-radiography-certificate/,https://www.collegenp.com/college/asian-college-for-advance-studies-lalitpur/#discussion,https://www.collegenp.com/college/asian-college-for-advance-studies-lalitpur/write-review/,https://www.collegenp.com/college/asian-college-for-advance-studies-lalitpur/#course-list,https://www.collegenp.com/college/asian-college-for-advance-studies-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.657521,85.3250564
"Asian College of Medical Science and Technology,",https://www.collegenp.com/college/asian-college-of-medical-science-and-technology-lalitpur/,Lalitpur,"Kupandole, Lalitpur",Certificate in Medical Laboratory Technology (CMLT),https://www.collegenp.com/course/asian-college-of-medical-science-and-technology-lalitpur-certificate-in-medical-laboratory-technolog/,,,,,,,https://www.collegenp.com/college/asian-college-of-medical-science-and-technology-lalitpur/#discussion,https://www.collegenp.com/college/asian-college-of-medical-science-and-technology-lalitpur/write-review/,https://www.collegenp.com/college/asian-college-of-medical-science-and-technology-lalitpur/#course-list,https://www.collegenp.com/college/asian-college-of-medical-science-and-technology-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.6879352,85.3156517
"B and B Medical Institute,",https://www.collegenp.com/college/b-and-b-medical-institute-lalitpur/,Lalitpur,"Gwarko, Lalitpur",Bachelor of Science (B.Sc) in Nursing,https://www.collegenp.com/course/b-and-b-medical-institute-lalitpur-bachelor-of-science-bsc-in-nursing-bsc-nursing/,PCL Nursing (Staff Nurse),https://www.collegenp.com/course/b-and-b-medical-institute-lalitpur-pcl-nursing-staff-nurse-staff-nurse/,Post Basic Bachelor in Nursing (PBBN),https://www.collegenp.com/course/b-and-b-medical-institute-lalitpur-post-basic-bachelor-in-nursing-pbbn-pbbn/,,,https://www.collegenp.com/college/b-and-b-medical-institute-lalitpur/#discussion,https://www.collegenp.com/college/b-and-b-medical-institute-lalitpur/write-review/,https://www.collegenp.com/college/b-and-b-medical-institute-lalitpur/#course-list,https://www.collegenp.com/college/b-and-b-medical-institute-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.66490635,85.3293451574824
